using device 0 NVIDIA GeForce RTX 2080 Ti
DEVICE: cuda
GraphSage with Net Unsupervised Learning
----------------------EPOCH 0-----------------------
Step [1/68], Loss: 10.8349, Dealed Nodes [1022/1355] 
Step [2/68], Loss: 11.5720, Dealed Nodes [1228/1355] 
Step [3/68], Loss: 11.6167, Dealed Nodes [1312/1355] 
Step [4/68], Loss: 10.8959, Dealed Nodes [1335/1355] 
Step [5/68], Loss: 11.1899, Dealed Nodes [1343/1355] 
Step [6/68], Loss: 11.2240, Dealed Nodes [1347/1355] 
Step [7/68], Loss: 10.4337, Dealed Nodes [1350/1355] 
Step [8/68], Loss: 9.6260, Dealed Nodes [1353/1355] 
Step [9/68], Loss: 8.9842, Dealed Nodes [1353/1355] 
Step [10/68], Loss: 8.4642, Dealed Nodes [1353/1355] 
Step [11/68], Loss: 8.1821, Dealed Nodes [1353/1355] 
Step [12/68], Loss: 7.9783, Dealed Nodes [1354/1355] 
Step [13/68], Loss: 7.9146, Dealed Nodes [1355/1355] 
Step [14/68], Loss: 7.7766, Dealed Nodes [1355/1355] 
Step [15/68], Loss: 7.7535, Dealed Nodes [1355/1355] 
Step [16/68], Loss: 8.4033, Dealed Nodes [1355/1355] 
Step [17/68], Loss: 7.9713, Dealed Nodes [1355/1355] 
Step [18/68], Loss: 7.7767, Dealed Nodes [1355/1355] 
Step [19/68], Loss: 9.8324, Dealed Nodes [1355/1355] 
Step [20/68], Loss: 8.5301, Dealed Nodes [1355/1355] 
Step [21/68], Loss: 8.3426, Dealed Nodes [1355/1355] 
Step [22/68], Loss: 7.9051, Dealed Nodes [1355/1355] 
Step [23/68], Loss: 8.4267, Dealed Nodes [1355/1355] 
Step [24/68], Loss: 10.2081, Dealed Nodes [1355/1355] 
Step [25/68], Loss: 8.4387, Dealed Nodes [1355/1355] 
Step [26/68], Loss: 8.2662, Dealed Nodes [1355/1355] 
Step [27/68], Loss: 7.9815, Dealed Nodes [1355/1355] 
Step [28/68], Loss: 7.8684, Dealed Nodes [1355/1355] 
Step [29/68], Loss: 7.8831, Dealed Nodes [1355/1355] 
Step [30/68], Loss: 7.8921, Dealed Nodes [1355/1355] 
Step [31/68], Loss: 7.7296, Dealed Nodes [1355/1355] 
Step [32/68], Loss: 7.6503, Dealed Nodes [1355/1355] 
Step [33/68], Loss: 7.7273, Dealed Nodes [1355/1355] 
Step [34/68], Loss: 7.6902, Dealed Nodes [1355/1355] 
Step [35/68], Loss: 7.7001, Dealed Nodes [1355/1355] 
Step [36/68], Loss: 7.7188, Dealed Nodes [1355/1355] 
Step [37/68], Loss: 7.6534, Dealed Nodes [1355/1355] 
Step [38/68], Loss: 7.6347, Dealed Nodes [1355/1355] 
Step [39/68], Loss: 7.6890, Dealed Nodes [1355/1355] 
Step [40/68], Loss: 7.5986, Dealed Nodes [1355/1355] 
Step [41/68], Loss: 7.5430, Dealed Nodes [1355/1355] 
Step [42/68], Loss: 7.5617, Dealed Nodes [1355/1355] 
Step [43/68], Loss: 8.5701, Dealed Nodes [1355/1355] 
Step [44/68], Loss: 7.6408, Dealed Nodes [1355/1355] 
Step [45/68], Loss: 7.7866, Dealed Nodes [1355/1355] 
Step [46/68], Loss: 7.7235, Dealed Nodes [1355/1355] 
Step [47/68], Loss: 7.6323, Dealed Nodes [1355/1355] 
Step [48/68], Loss: 8.0733, Dealed Nodes [1355/1355] 
Step [49/68], Loss: 7.7157, Dealed Nodes [1355/1355] 
Step [50/68], Loss: 7.6454, Dealed Nodes [1355/1355] 
Step [51/68], Loss: 8.2634, Dealed Nodes [1355/1355] 
Step [52/68], Loss: 7.6955, Dealed Nodes [1355/1355] 
Step [53/68], Loss: 7.5040, Dealed Nodes [1355/1355] 
Step [54/68], Loss: 7.6687, Dealed Nodes [1355/1355] 
Step [55/68], Loss: 7.6201, Dealed Nodes [1355/1355] 
Step [56/68], Loss: 7.5640, Dealed Nodes [1355/1355] 
Step [57/68], Loss: 7.5630, Dealed Nodes [1355/1355] 
Step [58/68], Loss: 9.8726, Dealed Nodes [1355/1355] 
Step [59/68], Loss: 7.9064, Dealed Nodes [1355/1355] 
Step [60/68], Loss: 7.9112, Dealed Nodes [1355/1355] 
Step [61/68], Loss: 7.8115, Dealed Nodes [1355/1355] 
Step [62/68], Loss: 7.6221, Dealed Nodes [1355/1355] 
Step [63/68], Loss: 7.5869, Dealed Nodes [1355/1355] 
Step [64/68], Loss: 7.6199, Dealed Nodes [1355/1355] 
Step [65/68], Loss: 7.5578, Dealed Nodes [1355/1355] 
Step [66/68], Loss: 7.8084, Dealed Nodes [1355/1355] 
Step [67/68], Loss: 7.5115, Dealed Nodes [1355/1355] 
Step [68/68], Loss: 7.6487, Dealed Nodes [1355/1355] 
